\xf1X axis acceleration,Y axis acceleration,Bicep signal,Shoulder signal,Tricep signal,Forearm signal
541,480,6,97,96,42
540,481,6,89,82,41
540,480,6,87,78,39
539,483,6,88,77,39
538,482,5,91,63,36
539,481,5,89,58,32
540,483,6,97,51,27
539,483,5,101,50,31
539,482,6,102,45,28
539,483,6,103,41,29
539,482,6,100,45,30
541,482,8,100,55,29
539,482,8,95,60,29
539,483,14,103,72,32
539,483,15,110,75,32
539,484,20,109,90,32
539,483,21,120,80,30
540,482,21,117,76,31
539,484,25,131,86,30
539,483,25,130,80,30
538,481,29,137,85,29
539,483,31,137,84,31
539,482,37,143,88,35
539,482,41,144,85,35
539,482,41,154,83,33
539,483,38,159,83,34
539,482,44,163,80,35
539,482,46,169,79,41
539,482,47,168,75,41
539,482,50,168,73,41
538,484,50,175,69,37
539,482,54,178,65,34
539,481,56,182,66,32
539,481,55,188,57,33
539,482,52,194,65,33
539,483,56,194,69,31
538,482,58,188,65,30
538,482,58,209,68,29
538,483,56,198,71,30
539,482,53,199,73,32
538,482,53,207,70,29
538,484,50,210,70,27
539,483,45,214,67,26
539,482,45,208,67,23
539,483,41,204,63,22
538,483,40,206,68,23
539,482,42,204,66,21
539,482,39,202,64,21
539,483,39,208,66,24
540,484,42,221,77,26
539,482,42,217,71,26
540,481,40,221,67,28
541,481,37,208,66,26
539,482,34,221,71,28
539,483,32,207,70,27
538,483,27,209,62,30
539,482,25,216,56,32
539,482,25,207,50,31
539,482,24,207,54,33
539,482,21,200,55,31
538,482,19,203,58,30
538,482,21,200,67,27
539,482,20,191,62,25
539,481,18,193,64,27
539,483,21,181,63,27
538,483,21,192,69,28
539,481,18,179,71,27
539,482,18,180,62,24
538,482,17,170,61,22
539,482,17,175,63,20
539,482,15,165,59,19
538,482,15,171,63,18
539,482,15,170,59,19
539,483,16,157,61,18
538,483,20,171,63,17
538,482,20,165,61,17
538,482,21,164,61,17
538,482,21,169,68,16
538,482,23,171,68,15
539,482,24,164,69,16
538,482,24,155,65,16
538,482,25,159,67,16
538,482,25,159,69,15
539,483,24,152,61,18
539,482,27,158,72,22
539,481,28,159,70,23
539,482,30,151,65,22
538,482,31,158,67,20
539,482,31,150,57,19
538,482,34,145,61,17
539,482,33,145,57,16
539,482,33,144,52,16
538,482,33,144,48,15
539,483,32,134,47,15
539,481,29,129,43,15
538,483,29,129,49,15
538,482,25,117,42,14
539,481,25,128,52,14
538,482,23,117,51,13
538,482,20,115,45,14
539,481,19,114,45,15
539,482,16,112,47,15
538,481,14,112,46,14
537,483,13,109,40,15
539,483,14,106,56,17
539,482,13,116,59,16
538,481,11,100,51,15
538,482,10,102,49,15
538,483,10,109,46,14
539,482,9,116,41,16
538,483,9,108,39,15
538,482,9,110,42,16
539,482,10,106,40,16
539,482,10,106,36,17
538,482,10,104,38,18
538,483,9,98,44,23
539,482,9,88,40,21
539,481,7,103,43,23
539,481,7,98,38,21
539,482,7,101,40,22
538,483,6,96,43,21
540,481,6,88,42,20
538,481,6,90,41,21
538,484,5,88,38,19
539,482,7,80,39,18
539,483,6,77,35,20
539,482,6,80,33,20
539,482,6,75,38,20
538,482,6,76,32,20
539,481,8,85,32,22
539,481,7,81,28,21
538,482,6,79,31,21
538,482,6,73,32,22
538,482,6,75,29,22
539,483,6,70,29,20
538,483,6,75,27,20
538,482,6,87,32,19
539,481,6,77,28,19
540,481,6,86,33,18
538,482,5,81,32,18
539,483,5,81,31,20
539,483,5,96,29,23
538,483,5,90,32,27
539,482,6,80,28,27
539,482,5,88,27,25
538,482,5,90,30,22
538,483,6,81,33,20
538,482,6,73,37,18
540,481,6,76,37,17
538,482,6,75,36,16
540,482,6,87,34,16
539,482,8,79,39,17
539,481,7,65,37,18
539,483,7,64,32,17
539,482,6,61,33,17
539,483,6,59,32,17
539,481,6,65,37,17
538,481,6,66,36,17
538,480,6,62,31,19
539,482,5,60,28,18
539,483,5,60,25,17
540,483,5,58,24,15
538,482,5,52,23,15
539,482,5,53,28,15
539,482,5,61,35,15
538,483,6,58,34,14
539,482,6,64,38,14
539,483,6,64,45,14
538,483,7,83,53,14
539,482,7,71,53,15
539,482,6,64,58,15
539,482,6,84,57,15
539,483,6,82,58,14
538,483,5,74,57,14
538,483,7,74,59,14
539,481,6,66,63,14
538,481,6,70,69,13
539,482,6,60,70,13
539,483,6,56,75,13
538,483,6,51,77,13
540,483,5,59,82,12
538,482,6,57,86,12
539,482,6,54,84,13
539,482,5,49,82,13
539,482,5,47,81,13
539,482,6,54,86,14
538,483,6,58,79,14
539,482,6,59,83,15
538,482,6,60,80,15
538,482,5,58,78,15
539,482,6,61,75,15
539,482,5,63,76,14
538,482,5,66,67,14
539,482,5,64,66,15
538,482,5,68,63,14
539,482,5,68,58,15
540,483,5,70,60,15
538,483,5,72,56,15
538,481,6,70,70,15
541,480,6,75,62,14
540,482,5,76,56,14
538,483,5,77,58,14
538,482,5,75,49,14
544,479,5,80,48,15
537,480,5,81,58,15
541,484,5,84,51,14
538,483,5,86,46,14
539,481,5,87,53,14
538,480,5,89,49,14
540,482,5,88,42,14
538,483,6,90,46,14
540,484,5,89,51,15
538,482,5,87,53,14
538,481,5,87,44,15
539,482,5,95,45,14
538,482,6,93,44,14
539,483,5,90,45,15
539,481,6,98,55,14
539,482,5,90,49,14
539,482,5,88,44,14
539,482,6,89,47,14
539,482,6,91,45,13
539,482,6,82,46,13
539,481,5,83,43,13
539,482,5,84,41,12
538,481,6,83,50,13
538,482,6,82,42,12
538,482,5,82,41,12
539,482,6,86,44,12
538,482,5,90,40,13
538,482,5,99,40,13
539,482,5,96,41,13
539,482,5,98,44,13
539,481,5,104,38,12
538,482,5,103,36,13
