8\xfcX axis acceleration,Y axis acceleration,Z axis acceleration,Bicep signal,Shoulder signal,Pectoral signal
345,338,417,57,64,110
345,339,418,60,66,112
345,338,418,59,67,114
345,338,417,62,67,113
345,339,418,65,70,114
344,338,419,67,71,114
345,338,417,69,74,110
344,338,418,71,76,106
345,338,418,71,74,99
345,339,418,73,77,95
344,337,418,73,75,89
344,337,418,74,75,86
345,338,418,69,75,82
345,338,419,72,76,77
346,338,417,71,78,74
346,339,419,71,78,73
344,338,419,70,77,69
345,339,418,70,79,68
345,338,418,69,82,64
344,337,419,68,82,61
345,338,418,66,84,59
345,339,419,65,85,55
345,337,418,65,85,52
345,338,418,61,86,50
344,337,418,62,87,49
344,338,418,59,88,54
345,338,418,58,90,54
344,338,417,60,88,51
346,338,419,55,88,49
345,339,418,51,87,43
344,338,417,51,89,41
345,338,418,50,89,39
345,338,419,50,90,45
344,338,417,48,90,53
344,338,418,48,89,47
345,339,418,47,89,44
344,337,417,43,91,43
344,339,418,42,90,42
344,338,418,40,91,41
345,339,418,39,91,41
344,337,418,38,90,39
344,339,418,37,89,41
344,339,418,37,90,39
345,338,418,37,87,39
344,338,417,35,87,38
345,338,418,36,88,36
345,338,418,34,86,32
344,339,417,32,87,30
344,339,419,30,86,26
345,338,418,27,87,24
345,338,417,26,86,22
344,337,418,26,86,20
344,338,417,23,85,20
345,338,418,23,87,19
345,337,418,22,84,17
345,338,418,21,84,15
344,340,419,22,84,15
344,339,418,21,83,13
344,338,417,21,82,14
345,338,418,21,82,14
345,339,418,23,84,14
344,338,418,23,83,14
344,338,417,22,83,13
344,338,418,21,82,15
344,338,418,22,82,17
345,339,418,22,80,19
345,338,419,22,81,18
344,338,418,23,81,16
344,338,418,21,80,15
344,339,418,22,81,14
344,338,418,20,81,14
344,337,418,19,80,18
344,337,417,17,79,31
344,339,417,19,81,52
345,338,418,19,79,43
344,338,418,18,81,35
345,338,418,18,81,32
345,339,418,19,80,30
344,338,418,19,82,28
344,339,418,18,82,27
345,338,417,17,81,26
344,338,417,19,82,27
344,339,417,17,82,28
344,337,418,18,80,27
344,337,418,18,81,26
344,339,419,17,80,24
344,338,418,18,80,19
345,338,418,16,80,19
345,338,419,16,76,17
344,338,418,16,77,15
345,338,419,16,78,15
344,339,418,16,75,14
344,338,418,15,74,14
345,338,418,16,72,14
344,337,418,16,74,12
344,338,418,15,71,11
345,338,419,16,71,11
344,337,417,16,68,11
344,337,417,16,68,12
344,338,418,16,67,11
345,339,419,15,67,12
345,338,418,15,67,13
344,338,417,16,66,11
345,338,419,16,67,16
345,338,417,15,66,19
344,338,418,16,65,18
344,338,418,16,66,18
345,338,418,15,66,16
345,337,418,15,65,15
344,337,417,15,65,14
345,338,418,14,64,17
344,338,417,13,65,28
345,338,417,15,66,45
345,337,418,16,65,39
346,338,418,15,65,35
345,339,418,16,64,32
344,338,419,17,65,32
346,337,417,16,63,30
345,338,418,16,63,28
346,338,418,15,64,27
345,338,417,14,62,27
345,337,417,16,63,27
344,338,417,15,64,29
345,337,418,16,63,26
346,338,418,14,61,23
345,337,418,15,61,19
345,337,417,15,60,18
345,337,418,15,61,16
345,339,418,15,59,14
345,338,418,15,58,13
345,339,418,15,56,13
344,338,417,14,55,16
